iter	Passed	Remaining
354	51967	2143862
355	52124	2144140
356	52287	2144651
357	52438	2144701
358	52604	2145342
359	52752	2145277
360	52901	2145236
361	53060	2145589
362	53197	2145046
363	53337	2144623
364	53490	2144767
365	53641	2144800
366	53797	2145006
367	53946	2144970
368	54097	2144986
369	54233	2144422
370	54382	2144360
371	54524	2144024
372	54669	2143826
373	54816	2143721
374	54996	2144847
375	55133	2144351
376	55283	2144308
377	55436	2144442
378	55587	2144427
379	55721	2143825
380	55862	2143432
381	55996	2142807
382	56135	2142390
383	56282	2142271
384	56433	2142271
385	56583	2142250
386	56723	2141876
387	56864	2141522
388	56996	2140805
389	57150	2140948
390	57287	2140454
391	57437	2140412
392	57595	2140688
393	57744	2140664
394	57888	2140421
395	58032	2140159
396	58174	2139869
397	58311	2139359
398	58444	2138711
399	58590	2138561
400	58732	2138256
401	58878	2138075
402	59033	2138232
403	59177	2138020
404	59356	2139027
405	59498	2138731
406	59642	2138476
407	59792	2138472
408	59942	2138433
409	60082	2138044
410	60226	2137824
411	60375	2137744
412	60524	2137707
413	60670	2137518
414	60816	2137362
415	60957	2137016
416	61096	2136629
417	61226	2135893
418	61374	2135802
419	61510	2135305
420	61660	2135257
421	61812	2135315
422	61943	2134633
423	62079	2134118
424	62220	2133813
425	62361	2133467
426	62500	2133079
427	62642	2132787
428	62781	2132368
429	62914	2131779
430	63053	2131380
431	63192	2130990
432	63333	2130670
433	63472	2130263
434	63612	2129922
435	63745	2129340
436	63880	2128800
437	64023	2128560
438	64165	2128262
439	64301	2127779
440	64441	2127447
441	64586	2127261
442	64721	2126752
443	64862	2126427
444	64993	2125791
445	65137	2125598
446	65277	2125251
447	65415	2124829
448	65548	2124268
449	65680	2123660
450	65818	2123266
451	65950	2122672
452	66085	2122176
453	66228	2121950
454	66372	2121745
455	66513	2121432
456	66682	2122023
457	66848	2122498
458	66993	2122340
459	67125	2121735
460	67264	2121383
461	67408	2121167
462	67546	2120781
463	67680	2120260
464	67817	2119848
465	67948	2119234
466	68079	2118623
467	68208	2117976
468	68344	2117507
469	68481	2117095
470	68616	2116630
471	68747	2116014
472	68883	2115572
473	69031	2115515
474	69165	2115017
475	69311	2114877
476	69451	2114545
477	69596	2114404
478	69734	2114004
479	69868	2113514
480	70004	2113087
481	70142	2112710
482	70286	2112533
483	70425	2112190
484	70563	2111801
485	70697	2111316
486	70824	2110613
487	70956	2110093
488	71080	2109304
489	71212	2108765
490	71345	2108254
491	71475	2107657
492	71612	2107267
493	71745	2106764
494	71878	2106269
495	72004	2105563
496	72137	2105036
497	72267	2104468
498	72401	2103986
499	72544	2103799
500	72683	2103470
501	72832	2103426
502	72971	2103105
503	73095	2102375
504	73231	2101956
505	73368	2101599
506	73506	2101243
507	73639	2100747
508	73778	2100445
509	73915	2100082
510	74054	2099767
511	74196	2099542
512	74332	2099131
513	74472	2098848
514	74628	2099013
515	74760	2098495
516	74899	2098200
517	75032	2097723
518	75164	2097209
519	75301	2096868
520	75430	2096280
521	75563	2095795
522	75706	2095605
523	75842	2095233
524	75975	2094764
525	76115	2094474
526	76256	2094222
527	76396	2093970
528	76537	2093699
529	76679	2093497
530	76824	2093351
531	76970	2093263
532	77110	2092983
533	77275	2093374
534	77422	2093301
535	77583	2093599
536	77730	2093504
537	77885	2093651
538	78044	2093870
539	78191	2093802
540	78337	2093688
541	78482	2093553
542	78626	2093388
543	78775	2093344
544	78918	2093161
545	79068	2093129
546	79210	2092930
547	79353	2092728
548	79505	2092769
549	79647	2092558
550	79788	2092304
551	79921	2091847
552	80059	2091533
553	80199	2091265
554	80344	2091138
555	80484	2090871
556	80636	2090893
557	80776	2090640
558	80917	2090390
559	81067	2090386
560	81210	2090202
561	81344	2089777
562	81474	2089247
563	81610	2088889
564	81758	2088814
565	81891	2088379
566	82029	2088050
567	82167	2087752
568	82298	2087253
569	82438	2086989
570	82571	2086569
571	82707	2086193
572	82840	2085750
573	82981	2085535
574	83126	2085380
575	83260	2084974
576	83385	2084346
577	83531	2084241
578	83686	2084346
579	83828	2084156
580	83973	2084029
581	84100	2083437
582	84234	2083033
583	84375	2082799
584	84508	2082367
585	84644	2082021
586	84786	2081823
587	84923	2081485
588	85058	2081118
589	85181	2080458
590	85328	2080364
591	85456	2079815
592	85585	2079318
593	85717	2078875
594	85856	2078591
595	85992	2078253
596	86131	2077974
597	86267	2077624
598	86401	2077244
599	86541	2076989
600	86681	2076756
601	86819	2076457
602	86957	2076167
603	87099	2075973
604	87233	2075584
605	87373	2075345
606	87519	2075224
607	87667	2075185
608	87819	2075211
609	87963	2075084
610	88101	2074791
611	88244	2074611
612	88380	2074267
613	88524	2074129
614	88665	2073910
615	88804	2073647
616	88936	2073206
617	89079	2073040
618	89219	2072792
619	89361	2072602
620	89500	2072339
621	89638	2072065
622	89774	2071738
623	89908	2071352
624	90044	2071032
625	90185	2070801
626	90318	2070412
627	90451	2070017
628	90581	2069541
629	90758	2070152
630	90888	2069704
631	91022	2069313
632	91162	2069076
633	91297	2068746
634	91426	2068258
635	91560	2067881
636	91696	2067552
637	91831	2067221
638	91975	2067074
639	92116	2066859
640	92254	2066595
641	92397	2066421
642	92550	2066473
643	92705	2066577
644	92863	2066758
645	93046	2067486
646	93201	2067569
647	93358	2067721
648	93502	2067564
649	93647	2067447
650	93832	2068205
651	94034	2069336
652	94185	2069341
653	94374	2070179
654	94516	2069993
655	94660	2069829
656	94806	2069724
657	94954	2069669
658	95091	2069356
659	95232	2069138
660	95379	2069048
661	95521	2068872
662	95680	2069040
663	95836	2069147
664	96007	2069582
665	96161	2069637
666	96337	2070177
667	96474	2069869
668	96623	2069816
669	96780	2069937
670	96926	2069825
671	97067	2069615
672	97217	2069587
673	97354	2069289
674	97510	2069396
675	97683	2069855
676	97847	2070126
677	98066	2071539
678	98254	2072316
679	98466	2073578
680	98621	2073653
681	98763	2073452
682	99031	2075886
683	99373	2079868
684	99703	2083584
685	100010	2086805
686	100373	2091180
687	100764	2096133
688	101104	2099999
689	101553	2106127
690	101958	2111316
691	102288	2114940
692	102617	2118534
693	102997	2123165
694	103364	2127519
695	103798	2133228
696	104238	2139049
