iter	MAE
0	4446.438043
1	4413.771535
2	4380.889342
3	4348.289027
4	4316.195599
5	4283.867203
6	4253.215192
7	4221.803929
8	4191.231289
9	4161.558519
10	4131.622333
11	4103.473629
12	4073.885867
13	4042.50938
14	4014.213219
15	3985.972025
16	3957.213082
17	3929.115822
18	3900.443699
19	3873.518146
20	3847.728988
21	3820.416567
22	3794.701782
23	3770.58936
24	3746.27717
25	3721.376121
26	3695.014845
27	3669.116061
28	3645.074814
29	3619.827985
30	3597.0694
31	3574.106998
32	3550.393962
33	3525.809502
34	3502.125223
35	3480.195503
36	3459.209367
37	3435.577432
38	3412.67275
39	3389.780938
40	3366.954954
41	3343.290433
42	3322.032351
43	3302.863615
44	3283.220858
45	3262.756209
46	3240.088956
47	3220.910823
48	3200.00304
49	3179.417157
50	3158.994379
51	3138.3208
52	3119.73601
53	3100.325085
54	3081.440294
55	3062.944719
56	3045.347387
57	3025.548481
58	3006.657759
59	2989.703797
60	2970.068715
61	2950.565966
62	2931.502047
63	2914.279868
64	2896.127625
65	2878.526311
66	2863.685061
67	2845.914166
68	2828.671621
69	2810.61332
70	2793.461203
71	2777.142189
72	2761.430778
73	2743.862218
74	2727.76857
75	2710.713742
76	2696.633356
77	2681.665418
78	2665.657972
79	2650.372756
80	2636.582582
81	2620.720539
82	2605.689284
83	2591.117782
84	2575.58213
85	2561.259143
86	2547.640019
87	2532.047138
88	2519.752911
89	2506.526171
90	2491.928612
91	2476.209842
92	2463.998094
93	2449.648909
94	2435.667885
95	2421.393649
96	2407.392715
97	2394.19216
98	2381.177492
99	2367.679431
100	2355.300473
101	2341.222348
102	2328.211442
103	2315.22186
104	2303.299573
105	2291.816162
106	2278.824482
107	2266.478147
108	2256.120658
109	2244.104734
110	2233.980926
111	2223.596756
112	2212.546075
113	2200.344179
114	2188.58742
115	2179.952731
116	2169.89525
117	2160.234924
118	2150.378525
119	2139.357528
120	2129.092852
121	2119.37257
122	2108.187247
123	2097.817415
124	2086.742104
125	2076.780988
126	2066.091865
127	2055.210008
128	2045.552423
129	2035.995126
130	2027.943012
131	2017.157438
132	2006.891735
133	1995.945177
134	1986.39907
135	1977.67409
136	1969.561412
137	1960.526561
138	1951.06734
139	1941.220544
140	1932.471028
141	1924.185212
142	1915.251852
143	1907.0868
144	1897.741782
145	1889.886414
146	1880.792494
147	1872.257255
148	1864.723722
149	1856.689403
150	1849.05407
151	1840.206892
152	1834.030568
153	1825.47161
154	1818.66196
155	1809.798078
156	1802.836262
157	1796.00729
158	1788.592093
159	1780.086893
160	1773.426403
161	1766.334344
162	1759.024854
163	1751.772428
164	1746.002206
165	1740.052239
166	1733.283013
167	1726.790974
168	1720.115154
169	1713.623029
170	1707.311819
171	1700.886072
172	1693.969281
173	1688.027085
174	1681.568319
175	1674.495441
176	1668.706578
177	1663.674583
178	1657.592543
179	1650.474246
180	1645.68709
181	1639.38625
182	1634.649473
183	1628.881577
184	1623.768908
185	1618.451067
186	1612.669177
187	1606.809057
188	1600.895346
189	1595.955761
190	1591.274633
191	1586.615831
192	1581.424871
193	1575.54421
194	1569.330892
195	1564.601864
196	1559.583574
197	1553.971667
198	1548.988062
199	1543.033934
200	1538.335715
201	1532.833889
202	1527.947913
203	1523.125099
204	1518.081066
205	1513.850451
206	1507.89451
207	1503.781289
208	1498.294124
209	1494.367
210	1490.094255
211	1486.203826
212	1480.841528
213	1476.026819
214	1470.690402
215	1467.330495
216	1462.038101
217	1457.410638
218	1453.916067
219	1449.786177
220	1445.626822
221	1440.733267
222	1436.351089
223	1432.311883
224	1428.10646
225	1424.116536
226	1419.257479
227	1415.845399
228	1412.033234
229	1408.0492
230	1403.58915
231	1399.18456
232	1395.673292
233	1391.261041
234	1386.969904
235	1382.990406
236	1380.29395
237	1376.252125
238	1372.045808
239	1368.484559
240	1364.13321
241	1360.248764
242	1356.715566
243	1352.681501
244	1349.607155
245	1346.60834
246	1343.624284
247	1341.047759
248	1337.823915
249	1334.118119
250	1331.696374
251	1328.489873
252	1325.231003
253	1322.276397
254	1318.762004
255	1315.46164
256	1311.960036
257	1308.950448
258	1306.378749
259	1303.936662
260	1300.391914
261	1297.471152
262	1294.141985
263	1290.791898
264	1288.343468
265	1285.168475
266	1282.723788
267	1279.690889
268	1276.636398
269	1273.809558
270	1271.102159
271	1268.209197
272	1264.940659
273	1262.765772
274	1259.399012
275	1257.423036
276	1255.073126
277	1251.730091
278	1249.607901
279	1246.820559
280	1244.706464
281	1241.792284
282	1238.454287
283	1235.764017
284	1233.08952
285	1231.203879
286	1228.768945
287	1226.631188
288	1224.85068
289	1222.143429
290	1219.35929
291	1217.32065
292	1215.489355
293	1213.544564
294	1211.880093
295	1209.454116
296	1207.249834
297	1204.656811
298	1202.091127
299	1199.253249
300	1196.630593
301	1194.33066
302	1192.082535
303	1189.896523
304	1187.088178
305	1185.105674
306	1183.378107
307	1181.129431
308	1179.637089
309	1177.652164
310	1175.200299
311	1172.514879
312	1170.801041
313	1169.04778
314	1167.072882
315	1165.097723
316	1163.31863
317	1161.26316
318	1159.006028
319	1156.812444
320	1155.124261
321	1153.373553
322	1151.579349
323	1149.824933
324	1148.217795
325	1146.43608
326	1144.659139
327	1142.708683
328	1141.141646
329	1138.818358
330	1137.149753
331	1135.468022
332	1133.320423
333	1131.055398
334	1129.93038
335	1127.776782
336	1125.675577
337	1124.266598
338	1122.751663
339	1121.577903
340	1119.749604
341	1118.186729
342	1116.571344
343	1114.55622
344	1113.348911
345	1111.98864
346	1110.430705
347	1108.299432
348	1106.96419
349	1105.620718
350	1104.029093
351	1102.523169
352	1100.561755
353	1098.949122
354	1097.200989
355	1095.209919
356	1093.784565
357	1092.205717
358	1090.495618
359	1089.373208
360	1087.866866
361	1086.472719
362	1085.294619
363	1083.550415
364	1082.243417
365	1080.891147
366	1079.864495
367	1078.504714
368	1077.098025
369	1075.673256
370	1074.144227
371	1072.633471
372	1071.174142
373	1069.283249
374	1068.033282
375	1066.324003
376	1064.845399
377	1063.632056
378	1061.89752
379	1060.529608
380	1059.111919
381	1057.798968
382	1056.375626
383	1054.95673
384	1053.925465
385	1052.502808
386	1051.119265
387	1049.694634
388	1048.389736
389	1046.977948
390	1045.709452
391	1044.629184
392	1043.536779
393	1042.054234
394	1041.305989
395	1040.20237
396	1038.973521
397	1038.271297
398	1036.900098
399	1035.793289
400	1034.669789
401	1033.55381
402	1032.093387
403	1030.836158
404	1029.576958
405	1028.812798
406	1027.586949
407	1026.205516
408	1025.063878
409	1024.139407
410	1023.104461
411	1021.883453
412	1020.802793
413	1019.378695
414	1018.127414
415	1017.141858
416	1016.520869
417	1015.464874
418	1014.515219
419	1013.000014
420	1012.535042
421	1011.30567
422	1010.470047
423	1009.412852
424	1008.226128
425	1007.23257
426	1006.753974
427	1005.993008
428	1005.047353
429	1003.79277
430	1002.737764
431	1001.939533
432	1000.919132
433	999.8980943
434	999.2890795
435	998.3953726
436	997.0120688
437	996.2054704
438	995.0923888
439	994.3013099
440	993.4379421
441	992.6515473
442	991.1601359
443	990.3923299
444	989.0868806
445	988.6981908
446	987.9550234
447	987.0462583
448	986.3967394
449	985.3405623
450	984.2768726
451	983.5534837
452	982.9167755
453	982.4684443
454	981.1629644
455	979.9299489
456	979.1743475
457	978.3873029
458	977.5606294
459	976.5825188
460	975.6856238
461	974.7335882
462	973.8074881
463	972.9405161
464	972.4185635
465	971.4941929
466	970.6178251
467	970.0684879
468	969.3946059
469	968.8654014
470	968.3396029
471	967.5111364
472	966.9412413
473	966.3720428
474	965.5872418
475	964.6632991
476	963.8537657
477	962.8032545
478	962.1330237
479	960.7816854
480	959.8846843
481	958.7949482
482	958.6234217
483	958.2717849
484	957.5265562
485	956.7516706
486	955.9162721
487	955.3539156
488	954.4503575
489	954.0372544
490	953.4181432
491	952.640207
492	952.0870946
493	951.3112985
494	950.8426558
495	950.0890234
496	948.9045475
497	947.9774282
498	947.387972
499	946.7856195
500	946.5736076
501	945.4590929
502	945.0530103
503	944.0202718
504	943.0516029
505	942.1220113
506	941.1324166
507	940.4058407
508	939.8000603
509	939.3863045
510	938.6804662
511	937.764197
512	937.154587
513	936.1641925
514	935.741129
515	935.1075275
516	934.5179145
517	933.8369429
518	933.3321613
519	932.8270103
520	931.8881067
521	931.0964174
522	930.8841344
523	930.3122493
524	929.5407089
525	928.9000479
526	928.4342621
527	927.7078144
528	926.9695368
529	926.334009
530	925.7454508
